date	total	Venture_qtty	MiningBarge_qtty	Exhumer_qtty	Orca_qtty	Freighter_qtty	JumpFreighter_qtty
2016-10	26040	664	1959	756	63	190	32
2016-11	32009	1989	1750	852	74	151	10
2016-12	42075	2242	2272	1181	87	163	24
2017-01	37589	1461	2128	969	121	196	34
2017-02	43724	1467	1650	661	129	324	54
2017-03	34952	1692	1944	806	109	188	50
2017-04	32193	1236	1672	727	97	180	39
2017-05	27647	1444	1240	583	88	110	26
2017-06	26158	1113	1117	486	98	136	48
2017-07	20345	1015	838	327	104	163	46
2017-08	22664	904	880	360	102	105	38
2017-09	21087	891	1193	370	93	132	23
2017-10	24246	1267	1272	507	84	134	50
2017-11	24640	1298	1153	465	126	166	57
2017-12	31324	1278	1219	452	107	109	45
2018-01	30433	1027	1163	562	111	232	68
2018-02	26733	821	1084	459	131	251	62
2018-03	46872	1034	1344	634	166	349	41
2018-04	27913	1279	1322	588	155	220	60
2018-05	28679	1253	1352	487	170	185	18
2018-06	40585	977	1368	494	146	244	49
2018-07	22877	975	1057	494	124	164	66
2018-08	24698	1100	1083	483	115	72	43
2018-09	23318	1005	897	394	108	155	40
2018-10	26974	870	1081	417	101	184	69
2018-11	23843	841	981	430	117	102	11
2018-12	25257	851	842	378	107	117	54
2019-01	28643	936	1029	535	90	210	33
2019-02	39050	981	859	359	120	247	25
2019-03	23591	873	786	368	120	121	33
2019-04	22824	902	836	364	110	113	18
2019-05	21355	817	852	360	81	74	45
2019-06	19758	631	913	377	73	52	51
2019-07	22715	902	1066	514	100	94	18
2019-08	23999	1107	1056	420	107	77	10
2019-09	17220	573	719	269	50	56	9
2019-10	22023	642	812	303	77	40	18
2019-11	24848	733	699	348	76	33	22
2020-01	30036	1008	919	392	98	105	9
2020-02	27981	1110	1019	357	100	108	17
2020-03	111519	11102	790	381	83	80	33
2020-04	86907	10998	1547	662	105	60	15
2020-05	32723	1275	1273	640	128	67	20
2020-06	43368	1781	1651	537	119	78	7
2020-07	24123	1030	1305	594	59	71	62
2020-08	26343	1113	1307	526	95	125	38
2020-09	23833	1145	1555	569	68	64	5
2020-10	30995	1041	1629	601	103	106	12
2020-11	29770	911	1441	529	102	85	9
2020-12	27975	990	960	433	88	111	3
2021-02	28679	1008	1348	511	114	97	4
2021-03	32544	1002	1622	724	150	87	9
2021-04	28415	1140	1602	644	121	136	9
2021-05	25775	746	1462	650	137	65	6
2021-06	20070	579	1261	431	106	88	15
2021-07	23651	540	732	301	94	133	10
2021-08	26326	492	1082	390	80	179	46
2021-09	23969	571	1111	435	83	111	13
2021-10	24404	799	1263	404	91	97	19
2021-11	22572	913	1151	475	94	77	7
2021-12	23777	583	689	221	131	133	6
2022-01	19631	682	615	266	61	48	5
2022-02	19811	597	588	292	92	85	8
2022-03	24234	1385	796	302	61	36	14
2022-04	18896	714	524	249	119	76	5
2022-05	18517	691	565	293	71	77	2
2022-06	16191	455	580	340	40	29	7
2022-07	31586	687	543	306	64	50	5
2022-08	27475	633	438	289	54	30	2
2022-09	26547	515	397	291	40	21	1
2022-10	31353	742	435	306	133	81	6
2022-11	29141	642	553	214	51	39	4
2022-12	36362	473	451	203	28	64	2
2023-01	43908	589	551	286	69	99	4
2023-02	41520	489	442	294	54	63	16
