date	total	Astrahus_qtty	Athanor_qtty	Azbel_qtty	Fortizar_qtty	Keepstar_qtty	Raitaru_qtty	Sotiyo_qtty	Tatara_qtty
2017-11	78	15	7	17	6	0	32	0	1
2017-12	92	19	10	25	5	0	32	0	1
2018-01	105	22	9	28	3	0	43	0	0
2018-02	193	47	19	29	5	0	90	1	2
2018-03	409	107	54	36	17	0	190	1	4
2018-04	331	85	54	44	8	0	133	1	6
2018-05	327	58	59	49	9	0	147	0	5
2018-06	262	43	79	30	7	0	99	1	3
2018-07	255	50	60	15	4	0	125	0	1
2018-08	370	67	92	40	6	0	157	1	7
2018-09	580	95	176	61	9	0	227	1	9
2018-10	497	87	160	30	8	0	197	6	9
2018-11	452	76	133	43	11	0	183	1	5
2018-12	418	58	163	51	6	0	128	3	9
2019-01	413	59	167	36	7	0	137	0	6
2019-02	417	76	135	26	8	0	166	1	5
2019-03	440	74	173	29	6	0	148	0	9
2019-04	345	48	165	20	8	0	98	0	6
2019-05	301	34	127	35	8	0	95	2	0
2019-06	339	39	151	32	6	0	105	0	5
2019-07	269	26	118	53	5	0	62	1	4
2019-08	290	31	122	45	6	0	71	3	11
2019-09	308	32	143	30	4	0	81	1	16
2019-10	311	25	160	25	6	0	93	0	2
2019-11	307	41	122	22	5	0	103	5	7
2020-01	448	73	197	23	6	0	144	2	3
2020-02	551	89	217	43	11	0	175	1	14
2020-03	670	101	227	41	16	0	268	2	14
2020-04	629	103	221	37	12	0	240	4	12
2020-05	362	69	130	32	5	0	116	1	9
2020-06	5357	1006	1908	38	5	0	2381	1	16
2020-07	574	69	266	25	3	0	205	2	4
2020-08	611	95	265	21	8	0	215	0	7
2020-09	583	77	256	29	6	0	210	2	3
2020-10	613	82	243	25	7	0	253	2	1
2020-11	463	69	191	21	5	0	174	0	3
2020-12	448	72	196	17	2	0	157	1	3
2021-02	358	68	158	14	1	0	109	0	8
2021-03	414	85	155	17	3	0	148	1	5
2021-04	294	46	119	16	3	0	102	2	6
2021-05	269	47	101	10	6	0	102	1	2
2021-06	257	44	91	10	2	0	107	1	2
2021-07	246	50	94	7	1	0	90	0	4
2021-08	292	62	128	7	1	0	93	0	1
2021-09	303	53	123	8	0	0	117	1	1
2021-10	311	63	111	17	1	0	114	1	4
2021-11	268	46	111	10	3	0	92	0	5
2021-12	213	42	84	9	3	0	74	0	1
2022-01	243	44	116	10	0	0	66	1	6
2022-02	238	34	126	10	0	0	67	0	1
2022-03	331	42	154	8	2	0	119	2	4
2022-04	319	48	109	12	2	0	145	1	2
2022-05	357	62	152	13	1	0	127	0	2
2022-06	390	60	227	11	3	0	89	0	0
2022-07	376	58	176	11	3	0	124	0	3
2022-08	292	48	149	15	2	0	76	0	2
2022-09	238	43	118	8	1	0	64	0	4
2022-10	324	49	179	8	7	0	77	1	3
2022-11	240	44	95	4	5	0	89	0	3
2022-12	241	40	119	6	6	0	67	0	2
2023-01	220	33	100	6	4	0	74	0	3
2023-02	136	23	65	5	9	0	33	0	1
