date	total	Astrahus_qtty	Athanor_qtty	Azbel_qtty	Fortizar_qtty	Keepstar_qtty	Raitaru_qtty	Sotiyo_qtty	Tatara_qtty
2017-11	192	98	18	8	17	0	49	0	2
2017-12	207	120	10	7	20	0	48	0	2
2018-01	240	132	18	10	14	0	63	0	3
2018-02	637	380	52	14	42	0	145	0	4
2018-03	650	403	43	8	34	0	157	0	5
2018-04	376	223	35	9	21	0	84	0	4
2018-05	350	167	59	11	19	0	91	0	3
2018-06	338	179	63	12	18	0	61	0	5
2018-07	375	176	84	9	19	0	83	1	2
2018-08	403	176	96	12	21	0	95	0	3
2018-09	365	156	84	17	23	0	77	2	6
2018-10	283	125	65	10	14	0	67	0	2
2018-11	342	141	85	12	22	0	79	0	3
2018-12	343	143	79	10	23	2	79	1	5
2019-01	363	159	68	11	29	0	91	1	4
2019-02	303	146	52	7	19	0	78	0	1
2019-03	331	121	92	13	22	0	72	0	7
2019-04	361	144	86	13	29	0	88	0	1
2019-05	360	156	77	7	25	0	89	0	6
2019-06	340	127	72	19	31	0	81	1	9
2019-07	338	131	84	10	24	0	84	0	5
2019-08	352	135	92	10	23	0	84	0	6
2019-09	404	142	97	15	35	1	105	0	9
2019-10	365	134	71	13	38	0	105	0	3
2019-11	383	140	114	11	25	0	89	0	4
2020-01	398	142	106	14	32	0	92	0	11
2020-02	289	114	68	6	26	0	70	1	4
2020-03	432	148	107	16	42	0	110	0	6
2020-04	447	148	138	19	33	0	100	0	9
2020-05	322	117	76	9	27	0	87	0	5
2020-06	434	156	116	5	14	0	136	0	7
2020-07	326	114	85	9	18	1	93	1	5
2020-08	307	107	82	11	25	0	76	0	6
2020-09	273	103	61	8	20	0	81	0	0
2020-10	298	118	74	14	21	0	68	0	3
2020-11	265	96	80	8	18	0	56	1	6
2020-12	236	96	60	6	22	0	48	0	4
2021-02	234	104	56	5	26	0	41	0	2
2021-03	199	103	53	4	10	0	29	0	0
2021-04	226	92	65	2	21	0	43	0	3
2021-05	167	79	44	3	11	0	30	0	0
2021-06	168	88	35	2	13	0	30	0	0
2021-07	172	87	44	4	9	0	26	0	2
2021-08	185	82	60	2	9	0	32	0	0
2021-09	202	110	55	2	10	0	23	0	2
2021-10	243	124	64	6	15	0	32	0	2
2021-11	172	92	43	0	5	0	32	0	0
2021-12	168	93	37	1	8	0	28	0	1
2022-01	169	84	39	3	13	0	28	1	1
2022-02	140	71	36	0	8	0	24	0	1
2022-03	160	77	41	3	11	0	28	0	0
2022-04	195	89	54	5	12	0	32	0	3
2022-05	264	136	67	7	12	0	40	0	2
2022-06	210	117	55	3	8	0	23	0	4
2022-07	194	119	33	4	8	0	29	0	1
2022-08	177	103	35	3	9	0	27	0	0
2022-09	167	91	38	3	9	0	24	0	2
2022-10	149	86	32	3	7	0	19	0	2
2022-11	156	99	33	5	4	0	15	0	0
2022-12	149	81	36	5	9	0	17	0	0
