date	total	AS_sumValue	HS_sumValue	JS_sumValue	LS_sumValue	NS_sumValue	PS_sumValue	WS_sumValue
2016-10	370483	0	3975294.47	764857.78	7447399.42	14393683.81	0	2677602.33
2016-11	465373	0	3430573.20	0	7736271.04	14957858.95	0	2712192.30
2016-12	571954	0	4361477.17	0	8729331.74	16869736.52	0	3589345.37
2017-01	556836	0	4503995.62	0	9137064.43	18744990.44	0	3885680.02
2017-02	476026	0	4803189.79	0	7540684.65	17122463.90	0	3295240.10
2017-03	481988	0	4386324.86	0	7645078.72	17986465.68	0	3563034.70
2017-04	464666	0	3971388.63	0	8072071.85	18879584.40	0	3307503.33
2017-05	429279	0	3371787.90	0	7734571.40	16276254.09	0	3066158.32
2017-06	369281	0	3817470.38	0	8402721.65	15469655.79	0	2375750.24
2017-07	357554	0	3105971.05	111795.44	6612292.90	15453435.01	0	2441091.11
2017-08	376233	0	2954227.73	267304.28	7759463.64	16799135.75	0	2482496.13
2017-09	387486	0	3050291.54	0	7749748.70	17654063.20	0	2891448.12
2017-10	423873	0	3767292.45	0	8473010.88	20007929.78	0	3054932.13
2017-11	412560	0	4427033.10	0	8605895.39	18304552.53	0	3882811.13
2017-12	433441	0	4674087.49	0	10326575.99	18674073.25	0	3701344.50
2018-01	482112	0	4900724.91	0	9448620.59	21423877.85	0	4292545.04
2018-02	408246	0	5207580.93	0	9037214.47	18762885.07	0	5047882.49
2018-03	478295	0	6312674.64	0	10372989.88	22652053.45	0	5818117.47
2018-04	413133	0	5770548.38	0	9222424.90	20317762.06	0	4374302.07
2018-05	401427	0	5192927.37	0	10306825.84	22951340.92	0	3956816.60
2018-06	406837	0	5327148.45	0	9527071.63	15766300.19	0	3681694.78
2018-07	377218	0	4594227.69	83386.87	9198357.77	19630864.97	0	3676559.67
2018-08	384118	0	4977141.31	187926.43	8945138.71	27323553.39	0	3864857.47
2018-09	338970	0	5227165.89	0	8216827.58	17786411.17	0	4147170.25
2018-10	371652	0	5258874.61	0	8602138.64	19215796.47	0	3886997.83
2018-11	373223	1045293.61	4106909.35	0	8538342.43	20094289.03	0	4211492.73
2018-12	381790	588786.63	4812389.57	0	9118434.73	19263210.24	0	4209932.66
2019-01	407089	551574.73	4589570.05	0	9143440.53	19436950.47	0	4230351.18
2019-02	360238	355703.16	4575938.03	0	7357884.50	15529749.97	0	3521528.13
2019-03	392114	422964.91	4419570.69	0	8384563.85	18665289.94	0	4670471.67
