date	total	Venture_sumValue	MiningBarge_sumValue	Exhumer_sumValue	Orca_sumValue	Freighter_sumValue	JumpFreighter_sumValue
2016-10	26043	1905.64	61673.87	129181.46	109459.67	591469.25	295727.48
2016-11	32009	6741.09	60990.03	139431.24	77949.37	540886.24	81888.90
2016-12	42075	12138.21	76062.75	193922.35	128691.55	516682.10	212019.39
2017-01	37590	8377.17	70800.46	159930.13	174218.66	762568.74	283417.28
2017-02	43724	11829.57	55952.80	110292.05	191912.34	845469.21	439449.26
2017-03	34952	5231.77	65100.55	136842.50	159895.11	516579.31	438240.64
2017-04	32193	2547.57	56867.40	121256.21	134623.96	570217.37	372554.79
2017-05	27648	6344.99	44769.23	101107.88	104555.74	369164.71	249632.21
2017-06	26158	2174.59	37536.96	87302.20	151017.40	406057.88	519327.92
2017-07	20346	2305.06	31224.59	53239.77	135394.72	632223.06	434184.71
2017-08	22665	2678.81	30526.33	63296.49	116064.69	413311.24	338285.70
2017-09	21087	2389.17	41306.81	70176.20	114094.77	516689.00	208353.39
2017-10	24247	2668.62	45548.51	96782.05	96283.92	508414.44	544920.91
2017-11	24931	11055.03	43623.13	85067.56	196918.49	675445.95	555734.21
2017-12	31772	3505.21	45042.95	82729.32	119895.46	433652.90	475300.55
2018-01	30773	1875.39	45127.02	98976.01	150884.22	767939.73	687345.71
2018-02	27232	16109.80	39541.76	82430.35	159848.40	940419.70	685470.38
2018-03	47846	8408.93	49430.95	120430.96	263643.07	995755.50	420107.81
2018-04	28660	5566.78	47810.29	119581.38	197883.80	855301.83	779337.02
2018-05	30817	2920.89	50333.87	95528.10	215431.70	720949.69	215749.66
2018-06	41075	2614.74	49761.12	97540.26	198076.49	804788.00	542678.18
2018-07	23276	2571.67	38677.99	98076.76	155168.63	614867.02	739343.98
2018-08	25183	10202.62	39811.34	101928.41	124624.37	236868.83	490984.10
2018-09	23728	3592.00	37269.59	83853.27	145799.79	478785.86	447931.48
2018-10	27408	1482.10	38822.90	85917.85	125726.31	615127.39	784136.99
2018-11	24284	1353.60	32985.74	85516.40	142490.32	324904.00	102303.71
2018-12	25736	4425.69	28165.64	79165.10	116932.35	387543.05	634611.25
2019-01	29060	2909.44	31363.82	112601.91	102595.63	588666.44	310447.34
2019-02	39667	2210.01	28429.98	71979.61	136040.63	610115.77	229305.69
2019-03	24015	2393.14	26782.91	76848.89	163148.80	461605.61	279440.33
2019-04	23182	2120.70	28549.67	69968.59	121671.88	257616.11	160251.92
2019-05	22094	2344.16	29963.81	82915.11	77840.64	221349.47	591322.42
2019-06	20370	1328.64	33744.03	84846.17	66531.82	191466.45	599581.27
2019-07	23382	2518.47	39413.94	105809.82	119990.91	334429.47	158616.51
2019-08	24933	2956.26	38469.59	92401.72	137681.60	211798.65	79996.95
2019-09	17758	1512.89	27849.92	54131.14	58695.39	138951.25	68307.92
2019-10	22721	1524.11	29611.23	58608.28	94188.82	100378.99	168275.69
2019-11	25616	1448.44	28848.61	75658.27	80842.11	70889.41	201265.71
2020-01	30882	1616.43	32669.41	94782.94	136269.62	362362.46	99709.67
2020-02	29108	1793.56	35426.82	82229.32	130733.55	349601.00	210972.32
2020-03	112427	4111.98	28584.62	83208.47	148673.11	277980.04	416145.37
2020-04	88239	6031.80	57826.11	160006.29	195477.28	173841.37	180064.11
2020-05	34177	3430.64	53185.59	149801.31	192876.72	229817.24	198655.96
2020-06	44317	2818.13	66666.67	123083.20	140165.16	133474.94	53881.85
2020-07	24933	2274.87	45754.60	124885.99	87003.54	186043.52	625442.96
2020-08	27260	4133.82	47008.94	107819.31	138993.10	390124.95	351586.62
2020-09	24638	3291.40	59966.42	109778.69	90076.69	196975.04	42163.90
2020-10	31852	2917.44	69346.29	117400.51	139349.31	277093.94	99566.34
2020-11	30429	3192.98	60029.85	110976.51	138668.24	262714.24	64784.56
2020-12	28568	2984.05	39221.66	83929.24	111869.73	393568.06	33516.93
2021-02	29452	2414.09	55315.52	103457.31	155936.49	343949.06	36664.45
2021-03	33273	4994.30	69641.58	146110.48	198414.22	300079.59	62970.46
2021-04	28968	3714.09	68160.53	131003.82	175289.44	498873.27	87108.76
2021-05	26403	9383.83	63404.13	137470.07	189891.45	197124.87	70438.82
2021-06	20460	2921.13	50696.61	85250.00	142785.38	273201.75	219667.31
2021-07	24057	3112.29	30073.94	59889.04	155272.44	421851.85	117837.47
2021-08	26823	3553.53	40305.55	75732.08	129719.77	633117.88	533299.81
2021-09	24412	1257.56	40743.61	80291.10	123787.35	326856.59	139338.08
2021-10	25005	1593.22	51453.39	82721.48	127968.66	349491.22	204261.19
2021-11	23052	2067.73	45948.15	98538.00	130794.01	300015.44	99036.19
2021-12	24169	1221.83	29393.94	46517.70	167401.97	353103.42	52465.38
2022-01	20152	1351.53	29292.70	71410.10	100113.43	150194.96	80349.08
2022-02	20241	2462.11	25889.45	82427.85	139134.33	249282.66	115221.20
2022-03	24557	2028.97	37409.79	78532.18	78736.03	107892.98	151899.13
2022-04	19288	1127.89	25150.10	63991.15	159550.99	261753.04	44711.68
2022-05	18975	1789.41	24937.05	68699.44	97046.86	253749.11	22005.54
2022-06	16531	1255.46	25641.29	71582.18	65974.27	104203.19	61324.83
2022-07	32001	2702.43	24052.38	68511.63	90448.07	121768.03	39501.03
2022-08	27820	1443.15	22146.15	66370.85	77229.35	83164.51	25094.48
2022-09	26897	2047.39	20435.21	71493.92	54862.50	87580.97	7824.92
2022-10	31728	1677.83	23316.40	72663.39	172774.56	286566.85	64178.66
2022-11	29568	1499.59	25341.84	49463.82	83221.02	154312.79	36251.77
