date	total	AS_qtty	HS_qtty	JS_qtty	LS_qtty	NS_qtty	PS_qtty	WS_qtty
2016-10	370483	0	37664	1532	115929	188815	0	24047
2016-11	465373	0	49238	0	160352	219033	0	32387
2016-12	571954	0	63583	0	211729	241888	0	47102
2017-01	556836	0	59029	0	178868	269703	0	45187
2017-02	476026	0	70163	0	147457	218729	0	37186
2017-03	481988	0	55484	0	151064	233269	0	38869
2017-04	464666	0	51860	0	144749	229240	0	36514
2017-05	429279	0	42535	0	136404	212723	0	34958
2017-06	369281	0	38148	0	114503	188605	0	26013
2017-07	357554	0	30523	739	105992	192322	0	25954
2017-08	376233	0	34561	841	120254	193189	0	23789
2017-09	387486	0	32163	0	115534	209800	0	28010
2017-10	423873	0	36733	0	130812	225915	0	28452
2017-11	412560	0	37111	0	125037	217256	0	31180
2017-12	433441	0	47836	0	140780	210505	0	31355
2018-01	482112	0	47028	0	156919	238788	0	35810
2018-02	408246	0	40263	0	131850	193997	0	39673
2018-03	478295	0	76174	0	135480	217515	0	46626
2018-04	413133	0	41692	0	130467	202216	0	35547
2018-05	401427	0	44516	0	118352	199073	0	36208
2018-06	406837	0	56739	0	142793	173857	0	29872
2018-07	377218	0	35764	474	118109	182109	0	35494
2018-08	384118	0	39408	659	118629	188379	0	34182
2018-09	338970	0	35191	0	98810	169586	0	32449
2018-10	371652	0	39530	0	104089	193748	0	30840
2018-11	373223	3924	35865	0	107310	190577	0	32804
2018-12	381790	1847	37529	0	112387	190935	0	36148
2019-01	407089	1487	42558	0	118274	206876	0	35268
2019-02	360238	1012	63155	0	96340	165360	0	32642
2019-03	392114	1261	35031	0	104853	205105	0	42295
2019-04	374704	890	34550	0	105605	192550	0	39373
2019-05	380682	679	31935	0	104847	202643	0	38017
2019-06	358988	528	28987	0	94290	176193	0	56894
2019-07	377055	453	34185	0	101537	192361	0	46638
2019-08	361619	394	35213	0	99897	179611	0	44250
2019-09	297293	520	23981	0	78779	141198	0	51041
2019-10	280049	657	30023	0	81544	132082	0	34000
2019-11	329023	1005	35004	0	95096	143406	0	52847
2020-01	373027	646	42410	0	98001	185875	0	42748
2020-02	346614	570	40275	0	91632	172047	0	39689
2020-03	634131	587	125397	2	133078	295375	0	75583
2020-04	610084	1367	106665	0	150103	287283	0	60248
2020-05	476017	1794	47406	0	130898	228938	0	58578
2020-06	456988	1051	57804	0	129554	209509	0	44585
2020-07	472837	60053	35217	0	93150	227510	0	47932
2020-08	468508	43663	37223	2	95807	216782	0	45706
2020-09	436492	39089	33416	0	87818	196725	0	44310
2020-10	471417	9505	44148	0	94960	262123	3220	47475
2020-11	443417	12951	40991	0	100411	239549	3194	46321
2020-12	417809	25197	38478	0	104621	208704	1589	39220
2021-02	422642	18738	38565	14	103589	212559	2294	46883
2021-03	479885	17320	45721	2	126777	240321	3592	46152
2021-04	398801	9534	41285	0	103816	196585	3111	44470
2021-05	403843	11635	35271	0	99890	210995	5903	40149
2021-06	343931	4303	27979	0	94551	170229	13381	33488
2021-07	353563	20211	33829	0	81032	183105	3383	32003
2021-08	416284	23222	39182	0	98022	215285	4523	36050
2021-09	380984	29125	34001	0	92300	183542	5680	36336
2021-10	383079	14383	33918	0	96952	184176	10433	43217
2021-11	386618	20957	31772	960	92988	185754	17958	36229
2021-12	374910	10708	32995	0	107853	176466	13090	33798
2022-01	427958	20834	27610	0	111090	213871	13345	41190
2022-02	367469	35302	27630	0	85997	159439	19054	40044
2022-03	358792	21725	30881	0	92909	161513	12008	39756
2022-04	364105	23214	27836	0	92669	167609	15360	37417
2022-05	345437	6009	26142	64	85297	167402	19007	41516
2022-06	349235	19023	22105	2	83229	164318	19459	41099
2022-07	357175	9925	39069	0	90207	159018	17072	41884
2022-08	354182	35421	34450	0	86776	142505	19464	35566
2022-09	330003	18257	34782	0	80662	135929	20829	39544
2022-10	340736	9923	38568	0	97895	141204	19264	33882
2022-11	418779	15972	36121	752	160005	152370	15914	37645
2022-12	410401	16235	43515	0	146130	157476	8832	38213
2023-01	419689	5366	50455	2	141708	173058	8424	40676
2023-02	394561	219	48725	0	124754	172262	8204	40397
