Barkrik
;;;;;;Barkrik;Bei;Hagilur;Hjoramold;Inder;Nakugard;Ragnarg;Traun;Tvink;Uriok;Uttindar
;;;;;jumps:;0;4;5;1;2;1;6;1;1;2;3
;;;;;constels:;0;1;1;0;0;0;1;0;0;0;1

type;count;avgdst;maxdst;constels;
aangel;4;2,25;6;0,25;;0;0;0;1;0;0;1;1;1;0;0
ablood;8;2,38;5;0,25;;0;0;2;2;1;0;0;0;1;2;0
aguristas;14;1,79;6;0,14;;0;1;0;4;2;1;1;3;1;1;0
aserpentis;8;1,62;4;0,12;;0;1;0;2;1;0;0;3;0;1;0
asansha;9;3,33;6;0,67;;0;2;1;0;2;0;1;1;0;0;2
bangel;11;1,82;6;0,09;;1;0;0;3;2;0;1;1;0;3;0
bblood;7;2;6;0,14;;0;0;0;3;1;0;1;0;1;1;0
bguristas;7;1,71;4;0,14;;0;1;0;1;2;0;0;1;2;0;0
bserpentis;7;2,86;6;0,29;;0;0;1;0;1;0;1;1;0;3;0
tenyo;9;1,22;2;0;;0;0;0;2;0;1;0;3;1;2;0
thawk;7;1,71;5;0,14;;1;0;1;2;1;0;0;1;0;1;0
tjaguar;8;1,62;2;0;;0;0;0;0;0;0;0;2;1;5;0
tvengeance;6;1,67;5;0,17;;0;0;1;1;0;1;0;3;0;0;0

agent;43;2,23;6;0,28;;0;4;3;9;6;1;3;8;3;4;2
base;32;2,06;6;0,16;;1;1;1;7;6;0;3;3;3;7;0
team;30;1,53;5;0,07;;1;0;2;5;1;2;0;9;2;8;0
all;105;1,98;6;0,18;;2;5;6;21;13;3;6;20;8;19;2

avg jumps;Barkrik
distance;#systems;avg sys jumps;avg cstl jumps
0;1;0;2,5
1;5;0,83;5,42
2;3;1,22;7,12
3;4;1,77
4;10;2,74
5;16;3,67
6;22;4,51
