Freatlidur
;;;;;;Anbald;Asgeir;Bei;Bongveber;Eiluvodi;Eust;Evuldgenzo;Flost;Freatlidur;Gedugaud;Geffur;Hagilur;Hilfhurmur;Hjoramold;Inder;Lumegen;Maturat;Ongund;Oppold;Ragnarg;Roleinn;Todrir;Tratokard;Traun;Uriok;Vorsk
;;;;;jumps:;2;2;5;1;1;5;3;4;0;5;4;6;3;10;9;6;2;4;4;7;1;6;5;9;9;3
;;;;;constels:;0;1;2;0;0;1;1;1;0;1;1;2;1;3;3;1;0;1;1;2;0;1;1;3;3;0

type;count;avgdst;maxdst;constels;
aangel;30;4;9;0,9;;0;1;0;1;0;4;3;1;0;0;3;0;4;0;0;2;2;0;0;0;2;3;3;1;0;0
ablood;43;4,42;9;0,98;;2;0;0;2;1;2;3;3;1;2;2;0;6;0;1;4;1;0;0;0;0;8;3;0;2;0
aguristas;26;4,12;9;0,92;;1;1;0;0;0;2;5;1;0;0;3;0;0;0;1;4;1;0;1;0;2;1;3;0;0;0
aserpentis;41;4,56;9;1,02;;1;2;1;0;0;7;2;5;0;1;1;0;2;0;1;1;3;2;1;0;0;8;2;1;0;0
asansha;34;3,82;6;0,79;;2;0;0;1;0;3;1;1;0;3;3;0;8;0;0;2;2;1;0;0;2;5;0;0;0;0
bangel;35;4,37;9;0,94;;1;0;0;2;1;5;3;1;0;1;8;0;1;0;0;4;0;0;1;0;0;3;3;0;1;0
bblood;22;4,68;10;1;;1;0;0;0;0;3;1;3;0;0;0;0;3;1;0;2;1;1;0;0;0;4;2;0;0;0
bguristas;36;3,89;6;0,81;;0;1;0;1;0;2;0;4;1;3;3;0;6;0;0;4;2;0;0;0;2;3;3;0;0;1
bserpentis;34;3,74;6;0,79;;4;1;0;1;0;0;1;2;0;1;7;0;6;0;0;2;0;1;0;0;2;6;0;0;0;0
tenyo;36;3,61;9;0,86;;3;2;0;2;0;3;4;0;1;0;4;0;5;0;1;0;1;0;2;0;2;5;0;0;1;0
thawk;46;4,02;9;1;;5;2;0;1;1;2;4;4;0;0;3;1;8;0;1;1;1;0;1;0;1;5;2;2;1;0
tjaguar;35;4,17;10;0,94;;3;0;0;0;0;3;1;0;1;4;3;0;10;1;0;5;0;0;1;0;0;1;2;0;0;0
tvengeance;32;3,81;7;0,84;;0;2;0;0;1;1;1;1;2;1;1;0;4;0;0;3;2;3;0;1;1;2;6;0;0;0

agent;174;4,22;9;0,93;;6;4;1;4;1;18;14;11;1;6;12;0;20;0;3;13;9;3;2;0;6;25;11;2;2;0
base;127;4,12;10;0,87;;6;2;0;4;1;10;5;10;1;5;18;0;16;1;0;12;3;2;1;0;4;16;8;0;1;1
team;149;3,91;10;0,92;;11;6;0;3;2;9;10;5;4;5;11;1;27;1;2;9;4;3;4;1;4;13;10;2;2;0
all;450;4,09;10;0,91;;23;12;1;11;4;37;29;26;6;16;41;1;63;2;5;34;16;8;7;1;14;54;29;4;5;1

probability /1000
all;990;4,09;10;0,91;;51;26;2;24;8;82;64;57;13;35;91;2;140;4;11;75;35;17;15;2;31;120;64;8;11;2
