Mitsolen
;;;;;;Ahtulaima;Itamo;Jatate;Kisogo;Kylmabe;Mahtista;Mitsolen;Newcaldari;Vaankalen
;;;;;jumps:;2;1;2;5;2;1;0;4;2
;;;;;constels:;0;0;0;1;0;0;0;1;0

type;count;avgdst;maxdst;constels;
aangel;8;1,88;4;0,12;;1;0;2;0;1;1;1;1;1
ablood;17;1,65;2;0;;2;0;4;0;4;2;2;0;3
aguristas;17;1,82;4;0,06;;0;1;6;0;6;2;1;1;0
aserpentis;17;1,76;5;0,12;;4;1;2;1;1;2;3;1;2
asansha;11;1,82;4;0,09;;2;1;2;0;0;3;0;1;2
bangel;18;2;5;0,11;;5;0;3;2;3;2;2;0;1
bblood;13;1,46;2;0;;1;1;4;0;1;4;1;0;1
bguristas;18;1,94;4;0,11;;1;3;1;0;5;0;1;2;5
bserpentis;11;1,55;2;0;;2;1;1;0;2;2;1;0;2
tenyo;18;1,89;5;0,06;;0;1;4;1;5;4;0;0;3
thawk;13;1,92;5;0,08;;1;1;2;1;4;1;1;0;2
tjaguar;11;1,82;4;0,09;;1;3;4;0;1;1;0;1;0
tvengeance;12;1,25;2;0;;1;2;1;0;2;3;2;0;1

agent;70;1,77;5;0,07;;9;3;16;1;12;10;7;4;8
base;60;1,78;5;0,07;;9;5;9;2;11;8;5;2;9
team;54;1,74;5;0,06;;3;7;11;2;12;9;3;1;6
all;184;1,77;5;0,07;;21;15;36;5;35;27;15;7;23

avg jumps;Mitsolen
distance;#systems;avg sys jumps;avg cstl jumps
0;1;0;2,5
1;2;0,67;5,51
2;5;1,5;7,31
3;3;1,91
4;8;2,79
5;19;3,89
