;;;;;;Eranakko;Kaunokka;Oto;Pynekastoh
;;;;;jumps:;2;8;4;6
;;;;;constels:;0;1;0;1

type;count;avgdst;maxdst;constels;
aangel;0;0;0;0;;0;0;0;0
ablood;0;0;0;0;;0;0;0;0
aguristas;2;5;8;0,5;;1;1;0;0
aserpentis;0;0;0;0;;0;0;0;0
asansha;1;8;8;1;;0;1;0;0
bangel;0;0;0;0;;0;0;0;0
bblood;0;0;0;0;;0;0;0;0
bguristas;0;0;0;0;;0;0;0;0
bserpentis;0;0;0;0;;0;0;0;0
tenyo;0;0;0;0;;0;0;0;0
thawk;0;0;0;0;;0;0;0;0
tjaguar;0;0;0;0;;0;0;0;0
tvengeance;2;5;6;0,5;;0;0;1;1

agent;3;6;8;0,67;;1;2;0;0
base;0;0;0;0;;0;0;0;0
team;2;5;6;0,5;;0;0;1;1
all;5;5,6;8;0,6;;1;2;1;1

avg jumps;Tannolen
within;sys jumps;cstl jumps
0;0;4,94
1;0,67;6,62
2;1,5;7,96
3;2,2
4;3,18
5;4,12
6;4,9
7;5,74
