Vorsk
;;;;;;Bongveber;Evuldgenzo;Todrir;Tratokard
;;;;;jumps:;2;5;8;4
;;;;;constels:;0;1;1;1

type;count;avgdst;maxdst;constels;
aangel;0;0;0;0;;0;0;0;0
ablood;0;0;0;0;;0;0;0;0
aguristas;0;0;0;0;;0;0;0;0
aserpentis;1;4;4;1;;0;0;0;1
asansha;0;0;0;0;;0;0;0;0
bangel;0;0;0;0;;0;0;0;0
bblood;0;0;0;0;;0;0;0;0
bguristas;0;0;0;0;;0;0;0;0
bserpentis;0;0;0;0;;0;0;0;0
tenyo;1;8;8;1;;0;0;1;0
thawk;1;2;2;0;;1;0;0;0
tjaguar;1;5;5;1;;0;1;0;0
tvengeance;0;0;0;0;;0;0;0;0

agent;1;4;4;1;;0;0;0;1
base;0;0;0;0;;0;0;0;0
team;3;5;8;0,67;;1;1;1;0
all;4;4,75;8;0,75;;1;1;1;1

avg jumps;Vorsk
distance;#systems;avg sys jumps;avg cstl jumps
0;1;0;3,74
1;1;0,5;6,23
2;3;1,4;9,15
3;5;2,2
4;3;2,62
5;4;3,18
6;5;3,82
7;7;4,59
8;15;5,75
