date	total	AS_qtty	HS_qtty	JS_qtty	LS_qtty	NS_qtty	PS_qtty	WS_qtty
2016-10	370483	0	37764	1532	115829	188815	0	24047
2016-11	465373	0	49350	0	160240	219033	0	32387
2016-12	571954	0	64075	0	211237	241888	0	47102
2017-01	556836	0	59453	0	178444	269703	0	45187
2017-02	476026	0	70386	0	147234	218729	0	37186
2017-03	481988	0	55692	0	150856	233269	0	38869
2017-04	464666	0	51951	0	144658	229240	0	36514
2017-05	429279	0	42564	0	136375	212723	0	34958
2017-06	369281	0	38205	0	114446	188605	0	26013
2017-07	357554	0	30548	739	105967	192322	0	25954
2017-08	376233	0	34612	841	120203	193189	0	23789
2017-09	387486	0	32232	0	115465	209800	0	28010
2017-10	423873	0	36784	0	130761	225915	0	28452
2017-11	412560	0	37177	0	124971	217256	0	31180
2017-12	433441	0	47951	0	140665	210505	0	31355
2018-01	482112	0	47162	0	156785	238788	0	35810
2018-02	408246	0	40306	0	131807	193997	0	39673
2018-03	478295	0	76271	0	135383	217515	0	46626
2018-04	413133	0	42111	0	130048	202216	0	35547
2018-05	401427	0	44598	0	118270	199073	0	36208
2018-06	406837	0	56834	0	142698	173857	0	29872
2018-07	377218	0	35809	474	118064	182109	0	35494
2018-08	384118	0	39433	659	118604	188379	0	34182
2018-09	338970	0	35240	0	98761	169586	0	32449
2018-10	371652	0	39614	0	104005	193748	0	30840
2018-11	373223	3924	36019	0	107156	190577	0	32804
2018-12	381790	1847	37622	0	112294	190935	0	36148
2019-01	407089	1487	42673	0	118159	206876	0	35268
2019-02	360238	1012	63234	0	96261	165360	0	32642
2019-03	392114	1261	35093	0	104791	205105	0	42295
2019-04	374704	890	34666	0	105489	192550	0	39373
2019-05	380682	679	32017	0	104765	202643	0	38017
2019-06	358988	528	29021	0	94256	176193	0	56894
2019-07	377055	453	34275	0	101447	192361	0	46638
2019-08	361619	394	35294	0	99816	179611	0	44250
2019-09	297293	520	24162	0	78598	141198	0	51041
2019-10	280049	657	30122	0	81445	132082	0	34000
2019-11	329023	1005	35115	0	94985	143406	0	52847
2020-01	373027	646	42450	0	97961	185875	0	42748
2020-02	346614	570	40334	0	91573	172047	0	39689
2020-03	634131	587	125444	2	133031	295375	0	75583
2020-04	610084	1367	106714	0	150054	287283	0	60248
2020-05	476017	1794	47576	0	130728	228938	0	58578
2020-06	456988	1051	57847	0	129511	209509	0	44585
2020-07	472837	60053	35241	0	93126	227510	0	47932
2020-08	468508	43663	37248	2	95782	216782	0	45706
2020-09	436492	39089	33522	0	87712	196725	0	44310
2020-10	471417	9505	44169	0	94939	262123	3220	47475
2020-11	443417	12951	41076	0	100326	239549	3194	46321
2020-12	417809	25197	38531	0	104568	208704	1589	39220
2021-02	422642	18738	38615	14	103539	212559	2294	46883
2021-03	479885	17320	45782	2	126716	240321	3592	46152
2021-04	398801	9534	41410	0	103691	196585	3111	44470
2021-05	403843	11635	35346	0	99815	210995	5903	40149
2021-06	343931	4303	28348	0	94182	170229	13381	33488
2021-07	353563	20211	34983	0	79878	183105	3383	32003
2021-08	416284	23222	39493	0	97711	215285	4523	36050
2021-09	380984	29125	34053	0	92248	183542	5680	36336
2021-10	383079	14383	33991	0	96879	184176	10433	43217
2021-11	386618	20957	31821	960	92939	185754	17958	36229
2021-12	374910	10708	33063	0	107785	176466	13090	33798
2022-01	427958	20834	27652	0	111048	213871	13345	41190
2022-02	367469	35302	27675	0	85952	159439	19054	40044
2022-03	358792	21725	30962	0	92828	161513	12008	39756
2022-04	364105	23214	28066	0	92439	167609	15360	37417
2022-05	345437	6009	26243	64	85196	167402	19007	41516
2022-06	349235	19023	22371	2	82963	164318	19459	41099
2022-07	357175	9925	39132	0	90144	159018	17072	41884
2022-08	354182	35421	34551	0	86675	142505	19464	35566
2022-09	330003	18257	34829	0	80615	135929	20829	39544
2022-10	340736	9923	38640	0	97823	141204	19264	33882
2022-11	418779	15972	36180	752	159946	152370	15914	37645
2022-12	410401	16235	43550	0	146095	157476	8832	38213
2023-01	419689	5366	50495	2	141668	173058	8424	40676
2023-02	394561	219	48767	0	124712	172262	8204	40397
2023-03	453518	240	47584	5	145893	190668	27575	41553
2023-04	403907	164	48484	0	130992	172937	12347	38983
2023-05	397960	141	47205	0	132688	163091	16268	38567
2023-06	388710	224	55055	0	119224	147477	26049	40681
2023-07	425831	232	50042	0	113397	160873	57804	43483
2023-08	379679	203	57809	733	106613	156990	16352	40979
2023-09	390483	206	53281	3	109180	167550	19022	41241
2023-10	439692	178	61159	0	139775	180621	15687	42272
2023-11	563310	245	91571	0	180836	222859	17047	50752
2023-12	473970	257	66022	0	164828	180169	15395	47299
