date	total	Astrahus_qtty	Athanor_qtty	Azbel_qtty	Fortizar_qtty	Keepstar_qtty	Raitaru_qtty	Sotiyo_qtty	Tatara_qtty
2017-11	232	43	117	7	5	0	58	0	2
2017-12	131	32	60	4	1	0	30	0	4
2018-01	152	35	58	5	4	0	50	0	0
2018-02	366	165	70	7	9	0	111	0	4
2018-03	286	133	40	9	9	0	92	1	2
2018-04	259	100	57	5	2	0	94	0	1
2018-05	236	102	53	8	5	0	65	1	2
2018-06	227	85	45	10	9	0	74	0	4
2018-07	228	73	58	10	13	2	71	0	1
2018-08	291	111	75	7	6	0	88	0	4
2018-09	227	87	58	8	10	0	59	0	5
2018-10	199	76	62	4	2	0	55	0	0
2018-11	211	76	57	3	5	0	68	0	2
2018-12	289	121	69	6	6	0	84	0	3
2019-01	345	132	75	15	8	0	109	1	5
2019-02	228	67	48	7	10	0	90	0	4
2019-03	265	92	83	4	8	0	73	0	5
2019-04	185	71	53	3	8	0	47	1	2
2019-05	161	66	37	3	2	0	50	0	3
2019-06	187	71	40	4	8	0	57	0	7
2019-07	230	79	70	5	4	0	68	0	4
2019-08	318	95	97	10	5	0	109	0	2
2019-09	173	56	57	4	4	0	51	0	0
2019-10	203	72	64	2	1	0	61	1	2
2019-11	191	62	58	8	6	0	53	0	4
2020-01	171	53	60	7	3	0	46	0	2
2020-02	176	65	52	5	1	0	51	0	2
2020-03	123	34	37	6	4	0	41	0	1
2020-04	224	82	73	5	4	0	59	0	1
2020-05	235	57	90	7	11	0	66	0	4
2020-06	933	367	196	7	8	0	348	0	6
2020-07	220	77	89	0	11	0	39	0	3
2020-08	197	57	52	2	6	0	77	0	2
2020-09	174	59	60	1	4	1	49	0	0
2020-10	159	50	66	3	5	0	32	0	3
2020-11	125	46	48	1	2	0	26	0	2
2020-12	126	44	47	5	3	0	21	0	6
2021-02	95	40	35	0	4	1	14	1	0
2021-03	179	28	119	6	6	0	17	0	3
2021-04	93	28	36	4	7	0	14	0	3
2021-05	118	42	60	0	2	0	13	0	1
2021-06	118	40	52	2	2	0	19	0	3
2021-07	82	23	37	1	4	0	17	0	0
2021-08	105	52	36	1	4	0	11	0	1
2021-09	103	45	36	2	3	1	14	0	1
2021-10	56	25	19	0	2	0	10	0	0
2021-11	67	28	24	1	2	0	12	0	0
2021-12	54	14	24	1	2	0	13	0	0
2022-01	89	28	48	1	0	0	10	0	2
2022-02	93	27	51	5	0	0	9	0	1
2022-03	148	43	75	4	2	0	18	0	6
2022-04	57	20	28	0	2	0	6	0	1
2022-05	115	44	51	0	1	0	19	0	0
2022-06	87	27	46	1	1	0	11	0	1
2022-07	127	50	58	0	1	0	18	0	0
2022-08	129	60	41	6	2	0	16	2	2
2022-09	99	25	55	0	7	1	10	0	1
2022-10	85	24	36	3	5	0	14	0	3
2022-11	106	29	53	3	9	0	11	0	1
2022-12	90	33	39	3	3	0	9	1	2
2023-01	84	30	36	2	3	0	12	0	1
2023-02	87	32	35	0	5	0	12	0	3
2023-03	101	32	58	0	2	0	9	0	0
2023-04	83	28	47	0	0	0	7	0	1
2023-05	73	20	30	2	4	0	14	0	3
2023-06	111	46	41	2	3	0	19	0	0
2023-07	92	42	34	0	2	0	14	0	0
2023-08	72	19	36	2	6	0	8	0	1
2023-09	66	16	34	0	2	0	13	0	1
2023-10	89	29	43	2	0	0	13	0	2
2023-11	67	25	30	1	2	0	8	0	1
2023-12	96	32	36	2	9	0	13	1	3
