date	total	Astrahus_sumValue	Athanor_sumValue	Azbel_sumValue	Fortizar_sumValue	Keepstar_sumValue	Raitaru_sumValue	Sotiyo_sumValue	Tatara_sumValue
2017-11	232	51085.68	168214.72	58806.85	60197.32	0	58770.11	0	13396.97
2017-12	131	36741.17	101035.21	36693.10	11299.23	0	26838.01	0	29218.54
2018-01	152	35317.17	74933.90	45372.52	45299.43	0	42657.68	0	0
2018-02	366	202352.56	135674.94	61733.20	107073.41	0	118567.00	0	43364.31
2018-03	286	162791.62	79131.40	72163.32	109605.52	0	94497.18	36591.37	15317.25
2018-04	259	115716.49	113389.06	48034.90	26721.02	0	118314.08	0	7391.56
2018-05	236	126131.05	90745.14	100582.82	59546.29	0	93105.81	35062.46	17544.04
2018-06	227	105050.55	92505.77	90788.32	100828.42	0	71887.27	0	81888.62
2018-07	228	93474.63	108404.48	95767.16	162564.15	9729.31	74728.73	0	7874.58
2018-08	291	128669.93	149855.02	50355.83	65805.18	0	84215.06	0	39006.81
2018-09	227	101861.71	115993.77	58447.56	104566.20	0	55226.55	0	62565.36
2018-10	199	86464.50	106251.13	36857.64	18443.73	0	48121.10	0	0
2018-11	211	79881.78	96246.55	37820.07	48866.68	0	94457.90	0	24793.41
2018-12	289	131160.64	129567.47	43353.83	61124.55	0	70784.98	0	21509.88
2019-01	345	142288.76	119291.21	225023.60	77622.76	0	105053.67	26784.80	39214.41
2019-02	228	73798.23	82979.43	48847.36	98515.36	0	113787.77	0	31468.82
2019-03	265	97398.36	126583.94	38300.24	76902.68	0	77208.67	0	31644.72
2019-04	185	79079.12	90828.46	19018.17	76445.85	0	49887.94	30779.53	18264.28
2019-05	161	70507.25	50549.36	16181.06	22112.36	0	46039.35	0	33498.96
2019-06	187	75931.58	65261.74	34310.33	72262.35	0	50231.39	0	56700.01
2019-07	230	102374.01	122911.67	43793.29	40919.05	0	76498.54	0	34387.06
2019-08	318	124137.79	192198.95	70093.39	48827.57	0	114532.03	0	14535.50
