date	total	Astrahus_sumValue	Athanor_sumValue	Azbel_sumValue	Fortizar_sumValue	Keepstar_sumValue	Raitaru_sumValue	Sotiyo_sumValue	Tatara_sumValue
2017-11	287	128568.55	86865.37	112575.31	112389.13	0	89504.60	138230.51	34500.90
2017-12	229	91061.54	41630.17	51064.67	191408.09	0	83642.22	360575.78	64085.80
2018-01	260	91288.22	78213.80	120969.26	262679.84	0	71334.55	74934.23	35066.13
2018-02	593	290378.58	217894.48	150266.18	385695.72	14992.05	186945.67	237231.11	103921.21
2018-03	713	326742.06	336596.71	213970.06	507296.63	0	266542.33	57771.61	66152.07
2018-04	590	260239.55	219789.74	161053.20	417221.05	9860.65	207199.93	289785.28	62959.00
2018-05	790	285981.06	414780.13	218404.01	595964.25	10382.70	227924.77	513401.17	141371.82
2018-06	415	159911.11	186135.07	37021.68	191714.79	0	145610.82	0	39124.16
2018-07	307	112256.99	121721.45	58215.35	179581.14	4371.28	111041.18	38741.46	59031.46
2018-08	422	136541.37	217809.86	63783.28	379435.12	7154.16	113531.96	0	100223.28
2018-09	420	154254.83	229029.38	47661.95	453332.37	17975.19	75261.36	90430.99	15691.64
2018-10	399	147684.74	123239.60	92296.46	126341.54	10012.30	125900.62	165403.87	36296.19
2018-11	379	97205.99	128013.73	59615.94	298446.49	67.34	130934.01	104913.98	52355.70
2018-12	470	142209.89	234612.12	141130.79	246458.84	3455.52	123868.00	0	40120.86
2019-01	393	156647.78	131721.21	59137.44	267434.94	784.98	97347.41	140639.29	34796.66
2019-02	330	96640.74	106881.07	40347.43	178955.51	0	111480.38	46029.20	30431.79
2019-03	307	90162.64	95859.38	22557.47	194029.77	0	89502.00	40197.37	0
2019-04	395	115835.29	151462.21	67773.25	141401.13	0	89653.53	80885.21	17449.94
2019-05	457	126775.25	125462.57	52327.90	231416.87	0	107160.56	0	53082.18
2019-06	670	173836.66	260929.64	120366.16	354416.26	14261.85	165273.71	449300.59	212989.13
2019-07	400	131879.06	138222.67	49834.85	165720.72	0	121649.84	0	36297.71
2019-08	290	85375.95	146467.01	64561.98	122331.53	0	84391.61	0	19574.07
2019-09	372	107656.50	105474.03	60996.08	192182.52	0	228848.08	62897.29	42465.51
2019-10	490	141489.35	263359.73	68014.12	176993.46	0	150234.93	132787.22	11701.22
2019-11	405	112440.87	166197.55	59908.78	190743.50	0	99648.63	54193.06	19156.53
2020-01	490	107410.18	221567.20	47479.65	159139.04	3508.30	150882.49	0	28134.39
2020-02	588	154243.45	288467.27	91448.85	220481.28	10207.45	183300.87	80689.09	40539.04
2020-03	464	129014.40	288041.11	75075.45	156699.05	18097.97	135284.42	91130.93	56008.82
2020-04	409	121557.18	125560.87	57797.95	213462.01	0	158565.35	0	20690.05
2020-05	192	76322.04	56298.17	7156.88	98771.01	0	49067.13	0	25258.94
2020-06	1309	396946.07	529091.08	190816.89	235770.06	0	497036.14	151995.70	48459.67
2020-07	592	118940.85	304545.26	70222.51	126178.09	0	95809.80	92839.34	63989.82
2020-08	698	103972.09	423689.02	95538.08	414673.24	18191.02	113282.91	236069.45	262328.54
2020-09	465	115524.28	212478.02	60257.96	244488.20	3698.41	85935.38	0	125148.17
2020-10	448	89371.24	260724.48	27315.02	209043.81	0	52165.67	117818.80	57606.97
2020-11	667	99503.50	385838.60	190514.07	227149.49	1581.25	96714.48	423136.39	161418.19
2020-12	481	76584.21	240462.82	74898.32	140460.65	5586.29	104639.76	122442.30	34579.70
2021-02	707	122011.81	218062.37	91486.51	507075.81	0	109388.32	1240783.84	177901.25
2021-03	920	195966.76	515709.48	261425.72	865372.42	31285.90	217209.45	1304288.96	408932.01
