date	total	Astrahus_sumValue	Athanor_sumValue	Azbel_sumValue	Fortizar_sumValue	Keepstar_sumValue	Raitaru_sumValue	Sotiyo_sumValue	Tatara_sumValue
2017-11	192	131861.78	25602.87	56168.71	218711.88	0	55763.69	0	13447.62
2017-12	207	162502.96	15625.10	55199.92	262049.90	0	51083.48	0	17548.31
2018-01	240	159862.58	26904.38	73899.34	165826.89	0	63811.64	0	26106.69
2018-02	637	516052.99	71420.40	97323.26	450726.03	0	159939.36	0	32761.26
2018-03	650	558303.40	65827.77	52381.59	392306.90	0	171567.84	0	56726.87
2018-04	376	282530.06	64962.55	64422.76	249561.75	0	87279.45	0	56963.41
2018-05	350	213554.64	75898.39	77574.72	231089.68	0	96255.56	0	30640.85
2018-06	338	225435.83	98390.53	86494.04	193878.43	0	66841.90	0	42380.20
2018-07	375	221994.66	138551.28	64671.38	218243.29	0	85319.30	30097.28	16009.00
2018-08	403	209517.32	155273.56	72196.69	228909.76	0	94025.21	0	22713.33
2018-09	365	190146.13	160250.24	104386.17	233821.14	0	72514.47	96825.88	51852.07
2018-10	283	156147.31	92558.99	64287.47	145702.03	0	56680.76	0	14665.44
2018-11	342	161294.08	144109.79	77058.56	207593.27	0	84931.83	0	21361.77
2018-12	343	164126.98	116290.40	57866.42	228929.56	5463.13	76267.67	52134.85	46736.40
2019-01	363	195317.33	88513.04	58844.39	268174.50	0	90909.60	29671.37	27647.82
2019-02	303	167025.32	69138.78	44310.89	184394.44	0	80085.11	0	5928.28
2019-03	331	130386.70	120008.07	70980.85	211211.10	0	65590.61	0	67769.42
2019-04	361	168358.67	128933.22	84809.43	263244.26	0	83524.62	0	11273.03
2019-05	360	173337.75	105617.97	43800.42	216918.61	0	90398.35	0	45069.59
2019-06	340	141196.30	109401.16	106954.71	276648.39	0	69393.68	21877.47	83307.30
2019-07	338	173967.33	129025.31	64806.08	240468.78	0	74026.10	0	37417.79
2019-08	352	195252.30	136452.89	64803.37	225051.54	0	88333.43	0	45996.65
2019-09	404	186584.61	166733.83	109649.09	347489.67	2873.91	107922.33	0	75263.59
2019-10	365	172911.32	102610.69	74893.91	375774.04	0	93399.00	0	22867.80
2019-11	383	179950.06	162609.40	63630.45	249754.55	0	97654.70	0	31623.90
2020-01	398	164053.39	153649.58	95123.02	336179.11	0	89716.53	0	96260.86
2020-02	289	134793.33	111501.81	36314.54	249310.12	0	71479.27	20981.57	27161.40
2020-03	432	198121.03	195504.28	109083.31	408776.35	0	116736.46	0	56108.40
2020-04	447	193503.24	198093.29	123663.09	335019.06	0	107851.71	0	79357.48
2020-05	322	151700.95	103138.32	64889.41	282052.71	0	90044.94	0	46727.55
2020-06	434	179697.37	132025.12	42048.24	138640.67	0	107280.56	0	57298.44
2020-07	326	122850.77	105449.09	54511.17	163598.26	4264.98	88748.51	40098.45	34442.73
2020-08	307	118146.53	100352.50	55855.00	223532.25	0	66377.27	0	38786.88
2020-09	273	118884.90	63971.54	46348.53	188573.89	0	69526.40	0	0
2020-10	298	147284.88	89962.52	84324.22	188773.25	0	61728.88	0	21703.53
2020-11	265	112388.29	107734.71	51064.46	154486.58	0	51018.81	31877.93	37270.25
2020-12	236	99273.11	78950.74	29597.86	172515.25	0	38861.32	0	21993.35
2021-02	234	120663.09	82309.53	22010.97	187868.59	0	34201.30	0	15155.14
2021-03	199	118972.56	62463.36	21294.75	77215.47	0	24797.44	0	0
2021-04	226	116537.80	104559.91	16333.18	191150.00	0	47053.53	0	30129.33
2021-05	167	100280.15	85761.32	19728.83	118535.29	0	39767.65	0	0
2021-06	168	115788.40	67195.24	10216.14	114661.20	0	37733.87	0	0
2021-07	172	101922.13	71274.40	20264.16	70810.83	0	25930.44	0	20698.75
2021-08	185	82086.86	79447.61	16353.79	73986.23	0	35294.74	0	0
2021-09	202	113567.51	73031.46	9324.02	93738.99	0	25374.96	0	17364.02
2021-10	243	132788.44	87966.70	27296.83	127967.38	0	35194.78	0	13286.91
2021-11	172	96453.00	51295.21	0	38259.43	0	27769.53	0	0
2021-12	168	98009.92	51323.80	3829.04	62217.30	0	28095.97	0	5448.92
2022-01	169	84333.35	57699.41	11602.33	92289.15	0	29698.08	19046.43	6631.84
2022-02	140	69302.37	50807.88	0	71281.55	0	21910.41	0	5693.39
2022-03	160	76811.62	65862.14	17395.40	81758.73	0	29651.49	0	0
2022-04	195	104241.34	80638.05	25736.27	97801.61	0	34013.45	0	28014.16
2022-05	264	152606.02	100214.84	76209.34	119364.57	0	45183.26	0	15898.47
2022-06	210	118760.48	82243.94	17437.81	68038.00	0	27832.34	0	35287.95
2022-07	194	116989.33	38359.53	19835.09	72445.40	0	28310.85	0	11710.62
2022-08	177	98289.37	33392.43	12856.41	72299.48	0	23755.17	0	0
2022-09	167	89931.49	47651.34	12593.05	75311.89	0	23398.77	0	13672.85
2022-10	149	91529.08	54487.86	11602.19	55197.08	0	16394.00	0	20541.96
2022-11	156	118828.33	50912.58	20898.27	30395.64	0	18846.42	0	0
2022-12	149	94634.01	62204.98	25782.97	84324.19	0	21232.17	0	0
2023-01	193	133872.54	65375.66	39118.76	87042.40	0	43098.42	0	28282.61
2023-02	197	131080.12	85251.51	6467.57	70146.57	0	46944.11	0	33735.77
2023-03	142	104359.06	57303.27	5829.92	109940.64	0	21326.87	0	0
2023-04	147	132451.61	97098.30	22317.11	73272.86	0	27963.58	0	12095.62
2023-05	156	142895.73	52113.59	39514.05	92933.98	0	30038.15	0	17810.58
2023-06	194	163678.17	86487.26	16931.35	186639.94	0	33005.48	0	14658.69
2023-07	174	164510.09	75555.57	14672.07	107597.35	0	40537.10	0	12510.13
2023-08	169	131458.21	73436.95	16768.25	129167.87	0	37216.48	0	20145.26
2023-09	180	159888.37	87423.68	16166.79	131864.21	0	39218.98	0	13225.52
2023-10	168	140381.04	82603.50	13178.12	71280.01	0	45861.51	0	27474.30
2023-11	142	95805.15	49026.42	18564.05	112804.63	0	32159.99	0	15088.75
2023-12	184	110015.36	110537.23	10612.43	123952.52	0	51906.89	0	11581.95
