date	total	Astrahus_sumValue	Athanor_sumValue	Azbel_sumValue	Fortizar_sumValue	Keepstar_sumValue	Raitaru_sumValue	Sotiyo_sumValue	Tatara_sumValue
2017-11	78	26503.77	12960.23	119794.21	88686.92	0	39450.70	0	6754.06
2017-12	92	32364.69	17948.01	209588.81	68544.20	0	43593.60	0	7388.07
2018-01	106	31827.92	13691.13	205765.66	34280.81	0	61379.97	0	8600.55
2018-02	194	62592.39	36511.11	209874.22	59380.37	0	118055.15	28613.88	16785.39
2018-03	409	157448.20	96682.70	258852.55	198324.64	0	274746.89	41538.91	34428.92
2018-04	331	115601.73	83244.99	353467.05	97427.97	0	192163.45	30646.44	44497.04
2018-05	327	75117.57	102388.37	329400.87	109724.75	0	194963.53	0	36117.79
2018-06	262	56338.09	125914.41	221789.95	79490.93	0	132781.55	32047.68	22721.92
2018-07	255	76915.54	102826.69	109947.39	43248.33	0	162294.35	0	8275.16
2018-08	370	87178.27	140381.15	259840.73	60423.86	0	345414.89	30509.38	54645.87
2018-09	580	123308.65	313386.26	393334.87	91653.88	0	273337.81	38473.98	74707.38
2018-10	497	120381.41	246760.55	195720.20	93364.18	0	246190.15	192390.14	65167.50
2018-11	452	99878.60	197721.97	279422.06	110677.93	0	239599.02	42083.15	50757.31
2018-12	418	71686.03	255707.04	286050.36	57148.96	0	156264.08	95728.05	79676.24
2019-01	413	77805.35	244399.35	208939.77	67743.22	0	272607.86	0	38562.77
2019-02	417	91874.32	243755.26	163176.41	76548.78	0	214749.37	24911.29	45064.03
2019-03	441	90623.33	261020.92	173773.44	56651.35	0	169003.75	0	58741.93
2019-04	345	57358.46	265310.67	126958.80	71256.27	0	121444.61	0	41608.79
2019-05	302	38059.77	192864.19	227849.98	99871.73	0	106722.25	67174.43	0
2019-06	339	44900.13	204684.28	165915.54	50503.80	0	119212.98	0	33585.70
2019-07	269	38877.08	177364.49	359326.99	53348.12	0	78385.86	27041.35	27183.59
2019-08	291	39967.34	213388.72	313395.49	58197.68	0	93130.45	89968.92	87588.45
2019-09	308	41620.78	220548.20	224427.00	37964.87	0	105761.88	20101.86	111634.74
2019-10	311	31373.14	234682.25	184515.46	56554.36	0	102743.79	0	15089.40
2019-11	307	51104.16	176679.90	133855.22	51884.28	0	126334.96	166110.68	58480.37
2020-01	448	87877.33	316927.36	155036.94	61002.31	0	185988.81	55932.04	28184.83
2020-02	551	115743.94	400000.55	303015.01	102000.53	0	215498.90	29525.34	107966.06
2020-03	670	136471.25	376468.93	267771.20	153464.04	0	349841.54	58257.91	107800.91
2020-04	629	152091.01	383299.13	250799.57	148492.11	0	340858.58	98262.58	87645.45
2020-05	362	98426.88	193505.20	217588.25	55132.44	0	180432.28	46864.86	64102.65
2020-06	5358	1126716.98	2218062.43	249996.69	50869.06	0	2331012.76	28889.21	113848.33
2020-07	574	72566.76	272096.83	159192.69	26891.50	0	223201.35	79774.40	26812.93
2020-08	611	111352.91	305240.56	121232.24	78044.49	0	236039.98	0	44209.77
2020-09	583	88302.44	304923.90	179429.95	78086.31	0	257173.63	68143.73	17956.30
2020-10	613	103100.34	309698.26	159021.48	71239.42	0	329763.73	74218.47	6386.25
2020-11	463	81710.84	245226.60	127713.96	39329.05	0	194864.07	0	22981.87
2020-12	448	82144.93	249886.23	89491.87	17723.31	0	168113.71	70936.10	23053.95
2021-02	358	76043.11	203127.72	78177.83	7385.63	0	118109.84	0	67183.91
2021-03	414	88133.71	192540.52	80819.05	23284.07	0	158062.13	35776.84	31312.71
2021-04	294	52103.44	176313.03	105873.27	25269.43	0	134586.74	77922.86	38049.12
2021-05	269	62218.41	165754.69	60093.01	62295.05	0	127664.78	36270.83	23822.21
2021-06	257	53886.65	169047.88	59222.56	15938.82	0	119720.91	24614.58	14253.59
2021-07	246	59597.39	153680.89	41625.41	7192.78	0	106420.48	0	24289.84
2021-08	292	73839.28	174845.12	31987.78	7390.98	0	83187.24	0	6755.56
