date	total	Astrahus_qtty	Athanor_qtty	Azbel_qtty	Fortizar_qtty	Keepstar_qtty	Raitaru_qtty	Sotiyo_qtty	Tatara_qtty
2017-11	287	101	63	11	9	0	93	5	5
2017-12	229	74	24	7	15	1	96	5	7
2018-01	260	80	56	16	23	0	80	2	3
2018-02	593	224	102	21	34	1	191	7	13
2018-03	713	257	138	26	44	0	241	1	6
2018-04	590	221	105	19	34	4	194	5	8
2018-05	790	238	225	30	50	2	223	7	15
2018-06	415	130	109	6	17	0	144	0	4
2018-07	307	92	61	8	16	2	108	1	7
2018-08	422	122	116	10	36	1	125	0	10
2018-09	420	147	127	7	45	7	75	2	2
2018-10	399	137	69	12	13	4	157	3	4
2018-11	379	97	73	9	33	1	153	2	7
2018-12	470	147	122	15	26	1	131	0	5
2019-01	393	134	75	8	29	1	112	2	5
2019-02	330	87	70	6	19	0	123	1	4
2019-03	307	89	54	4	21	0	100	1	0
2019-04	395	119	72	9	17	0	100	3	2
2019-05	457	129	76	8	26	0	137	0	4
2019-06	670	159	148	19	39	4	179	11	22
2019-07	400	108	76	6	17	0	148	0	5
2019-08	290	67	73	9	13	0	87	0	2
2019-09	372	87	71	8	20	0	84	2	6
2019-10	490	120	152	8	19	0	140	3	1
2019-11	405	107	110	9	20	0	118	2	2
2020-01	490	101	131	7	16	1	187	0	2
2020-02	588	141	159	13	24	3	190	3	5
2020-03	464	102	152	10	16	5	139	3	7
2020-04	409	104	75	8	21	0	172	0	3
2020-05	192	57	36	1	10	0	57	0	3
2020-06	1309	349	377	25	25	0	491	4	5
2020-07	592	99	268	9	14	0	94	2	7
2020-08	698	79	362	11	44	4	99	5	30
2020-09	465	87	172	7	26	1	79	0	17
2020-10	448	69	149	5	23	0	56	3	8
2020-11	667	71	332	19	26	1	66	9	18
2020-12	481	69	245	8	17	2	63	4	5
2021-02	707	93	168	18	68	0	72	16	20
2021-03	920	139	312	32	104	13	125	33	36
2021-04	519	75	238	12	44	16	61	14	16
2021-05	266	37	67	29	28	1	56	3	10
2021-06	222	63	78	11	12	0	36	0	2
2021-07	168	33	64	2	2	0	31	0	2
2021-08	861	104	400	21	106	16	63	13	33
2021-09	163	40	52	2	10	3	22	2	2
2021-10	240	39	104	11	18	0	22	3	9
2021-11	244	50	131	2	21	1	13	1	5
2021-12	152	37	73	1	6	0	25	0	3
2022-01	214	51	78	2	11	1	18	1	3
2022-02	100	40	23	1	7	0	11	0	2
2022-03	173	57	45	1	4	0	29	0	4
2022-04	247	59	117	3	11	0	18	1	3
2022-05	280	113	87	3	11	0	22	0	0
2022-06	212	56	65	3	21	1	14	0	0
2022-07	295	52	117	3	13	0	24	1	6
2022-08	191	26	78	3	16	0	9	0	8
2022-09	162	42	72	2	11	2	13	0	1
2022-10	110	35	38	1	2	0	14	0	2
2022-11	188	32	82	8	8	0	12	0	6
2022-12	201	34	78	8	11	0	13	0	5
2023-01	793	106	317	30	71	10	71	6	24
2023-02	335	68	140	7	30	1	34	2	13
2023-03	198	37	70	2	20	3	18	0	3
2023-04	228	41	87	3	12	1	13	1	4
2023-05	201	44	74	2	11	0	25	0	1
2023-06	166	42	61	6	8	0	20	1	6
2023-07	188	50	97	1	11	0	14	1	1
2023-08	151	27	62	1	6	0	18	0	1
2023-09	209	42	73	4	6	0	37	0	3
2023-10	241	69	97	3	13	0	19	2	3
2023-11	514	78	212	22	53	4	53	5	23
2023-12	197	53	83	5	10	0	13	1	4
