date	total	AS_sumValue	HS_sumValue	JS_sumValue	LS_sumValue	NS_sumValue	PS_sumValue	WS_sumValue
2016-10	370483	0	3978055.16	764857.78	7444638.74	14393683.81	0	2677602.33
2016-11	465373	0	3432131.64	0	7734712.60	14957858.95	0	2712192.30
2016-12	571954	0	4366148.31	0	8724660.60	16869736.52	0	3589345.37
2017-01	556836	0	4512087.53	0	9128972.52	18744990.44	0	3885680.02
2017-02	476026	0	4806514.08	0	7537360.36	17122463.90	0	3295240.10
2017-03	481988	0	4389942.39	0	7641461.19	17986465.68	0	3563034.70
2017-04	464666	0	3973322.35	0	8070138.13	18879584.40	0	3307503.33
2017-05	429279	0	3372426.31	0	7733932.99	16276254.09	0	3066158.32
2017-06	369281	0	3819758.54	0	8400433.50	15469655.79	0	2375750.24
2017-07	357554	0	3107241.59	111795.44	6611022.36	15453435.01	0	2441091.11
2017-08	376233	0	2954918.71	267304.28	7758772.65	16799135.75	0	2482496.13
2017-09	387486	0	3054697.34	0	7745342.91	17654063.20	0	2891448.12
2017-10	423873	0	3769099.15	0	8471204.19	20007929.78	0	3054932.13
2017-11	412560	0	4427549.49	0	8605379.01	18304552.53	0	3882811.13
2017-12	433441	0	4761186.03	0	10239477.45	18674073.25	0	3701344.50
2018-01	482112	0	4910342.66	0	9439002.84	21423877.85	0	4292545.04
2018-02	408246	0	5210886.33	0	9033909.07	18762885.07	0	5047882.49
2018-03	478295	0	6315393.14	0	10370271.38	22652053.45	0	5818117.47
2018-04	413133	0	5782338.42	0	9210634.85	20317762.06	0	4374302.07
2018-05	401427	0	5196914.36	0	10302838.84	22951340.92	0	3956816.60
2018-06	406837	0	5330455.84	0	9523764.24	15766300.19	0	3681694.78
2018-07	377218	0	4595213.25	83386.87	9197372.21	19630864.97	0	3676559.67
2018-08	384118	0	4977962.14	187926.43	8944317.88	27323553.39	0	3864857.47
2018-09	338970	0	5229983.83	0	8214009.63	17786411.17	0	4147170.25
2018-10	371652	0	5263368.92	0	8597644.33	19215796.47	0	3886997.83
2018-11	373223	1045293.61	4109150.02	0	8536101.76	20094289.03	0	4211492.73
2018-12	381790	588786.63	4815565.58	0	9115258.72	19263210.24	0	4209932.66
2019-01	407089	551574.73	4590866.53	0	9142144.05	19436950.47	0	4230351.18
2019-02	360238	355703.16	4576901.49	0	7356921.04	15529749.97	0	3521528.13
2019-03	392114	422964.91	4422019.91	0	8382114.62	18665289.94	0	4670471.67
2019-04	374704	333115.64	3733373.83	0	7399983.16	18792603.39	0	4250339.76
2019-05	380682	207380.57	4296255.61	0	7638209.48	18399982.09	0	4513372.81
2019-06	358988	203839.78	3929566.12	0	8667730.58	17467935.56	0	4507692.44
2019-07	377055	159389.12	4365788.78	0	8163522.42	19820536.15	0	4447187.33
2019-08	361619	153067.81	4450016.82	0	7811987.08	18941301.07	0	5056763.08
2019-09	297293	230234.68	3487287.02	0	5937694.49	15152091.57	0	5057924.81
2019-10	280049	248818.71	3482890.21	0	6711798.05	13538423.35	0	4248392.35
2019-11	329023	343999.28	5675533.68	0	6780825.68	14490162.85	0	4586580.68
2020-01	373027	280894.80	4892881.52	0	7344835.28	17591923.11	0	4839076.36
2020-02	346614	235953.55	5068041.30	0	7394664.70	17280372.85	0	4773651.30
2020-03	634131	223645.53	5536918.59	0.56	8686957.75	20602752.79	0	6598726.46
2020-04	610084	404830.99	6138256.39	0	9394684.56	20576429.20	0	5724382.46
2020-05	476017	539567.58	5100143.14	0	9022226.21	20480393.39	0	5467236.84
2020-06	456988	347283.90	8899786.55	0	10057780.58	18110369.84	0	4190945.26
2020-07	472837	1553218.76	3783581.76	0	6174582.59	16548663.77	0	4070402.97
2020-08	468508	664582.40	3906874.02	81.47	6813595.59	17209036.11	0	3798020.51
2020-09	436492	447623.87	3874959.57	0	5953241.04	15857982.34	0	3596108.20
2020-10	471417	124429.98	4286533.80	0	6779206.82	24303186.49	171406.33	4329781.09
2020-11	443417	129083.79	4059430.51	0	7403665.93	20429722.29	232131.82	4333431.44
2020-12	417809	461100.23	4198650.27	0	7000803.59	16346138.07	81698.98	3927857.29
2021-02	422642	298728.31	3729041.19	186.99	7391415.82	18686689.08	194416.79	4621608.04
2021-03	479885	262164.75	4110859.12	544.15	8004585.82	22641351.35	192235.71	4622232.05
2021-04	398801	131574.37	4116802.54	0	7405168.69	15889678.98	230208.25	4474040.44
2021-05	403843	261394.08	4011580.32	0	6211527.20	15280739.64	408329.08	4397986.86
2021-06	343931	475359.04	3499758.16	0	5464904.00	12236082.57	599301.06	3780728.83
2021-07	353563	353534.23	3707086.27	0	5364644.66	12554564.76	193874.72	3540696.48
2021-08	416284	308679.58	4482618.68	0	7483663.70	17419330.30	403402.42	4311452.51
2021-09	380984	153388.80	3848355.02	0	6273165.55	15030989.91	419208.10	4116491.03
2021-10	383079	592940.51	4148067.20	0	5600813.31	14674225.01	882291.86	4171102.98
2021-11	386618	635175.63	3877842.44	345958.92	5624109.00	14346737.80	1086341.86	3698885.35
2021-12	374910	201676.76	3955225.16	0	7782553.83	14523019.83	1173670.48	3356114.77
2022-01	427958	642065.93	3271964.33	0	6642481.19	16660533.15	1039116.53	4428014.71
2022-02	367469	640628.33	2974449.21	0	5847389.26	12723904.80	1160099.56	4926981.75
2022-03	358792	67177.37	2720349.08	0	5944501.24	13621903.86	864780.30	4343332.27
2022-04	364105	657567.88	3272182.55	0	6202328.22	13314893.33	1258144.78	4027798.24
