date	total	Venture_sumValue	MiningBarge_sumValue	Exhumer_sumValue	Orca_sumValue	Freighter_sumValue	JumpFreighter_sumValue
2016-10	26119	1928.21	61735.15	129181.46	109459.67	591469.25	295727.48
2016-11	32096	6741.99	60990.03	139431.24	77949.37	540886.24	81888.90
2016-12	42425	12145.02	76062.75	194081.71	128691.55	516682.10	212019.39
2017-01	37939	8378.66	70823.09	159930.13	174218.66	762568.74	283417.28
2017-02	43892	11829.57	55952.80	110292.05	191912.34	845469.21	439449.26
2017-03	35127	5239.13	65100.55	136842.50	159895.11	516579.31	438240.64
2017-04	32263	2548.44	56867.40	121460.42	134623.96	570217.37	372554.79
2017-05	27673	6344.99	44837.23	101107.88	104555.74	369164.71	249632.21
2017-06	26209	2176.66	37536.96	87302.20	151017.40	406057.88	519327.92
2017-07	20366	2306.50	31224.59	53239.77	135394.72	632223.06	434184.71
2017-08	22703	2678.81	30548.20	63296.49	116064.69	413311.24	338285.70
2017-09	21139	2391.53	41306.81	70176.20	114094.77	516689.00	208353.39
2017-10	24289	2673.25	45548.51	96782.05	96283.92	508414.44	544920.91
2017-11	24697	11051.72	43571.34	84919.26	194609.39	675445.95	555734.21
2017-12	31417	3491.90	45011.22	82312.76	117463.46	433652.90	475300.55
2018-01	30530	1862.60	45039.12	98976.01	149075.64	767939.73	687345.71
2018-02	26767	16104.40	39456.99	82251.25	156918.18	940419.70	685470.38
2018-03	46955	8385.34	49192.42	120132.75	260658.97	993444.90	420107.81
2018-04	28262	5522.34	47487.84	118218.65	180649.20	855301.83	779337.02
2018-05	28742	2743.21	49923.75	94441.94	209276.12	720949.69	215749.66
2018-06	40652	2567.22	48997.53	96922.68	194155.34	804788.00	542678.18
2018-07	22910	2546.82	38355.99	97540.76	150124.74	614867.02	739343.98
2018-08	24717	10125.41	38920.67	100177.69	117202.67	236868.83	490984.10
2018-09	23345	3541.85	37009.83	83354.14	141576.38	478785.86	447931.48
2018-10	27032	1445.34	38408.52	84630.29	117824.94	615127.39	784136.99
2018-11	23931	1342.28	32339.96	84382.60	138980.14	323524.26	102303.71
2018-12	25317	4399.31	27862.53	77590.72	106481.42	387543.05	634611.25
2019-01	28717	2888.76	31150.00	111902.33	98963.14	588666.44	310447.34
2019-02	39111	2189.89	28205.40	71293.52	127851.11	610115.77	229305.69
2019-03	23641	2368.45	26251.49	76417.66	148837.06	461605.61	279440.33
2019-04	22923	2128.87	28310.54	68576.44	114326.70	257616.11	160251.92
2019-05	21419	2320.40	29666.78	82250.65	68346.74	221349.47	591322.42
2019-06	19783	1290.41	33345.06	84701.25	59406.07	191466.45	599581.27
2019-07	22789	2459.93	38781.70	105357.76	101337.92	334429.47	158616.51
2019-08	24062	2877.78	37917.84	89586.11	127447.05	211798.65	79996.95
2019-09	17365	1483.18	27570.08	52311.61	49450.79	138951.25	68307.92
2019-10	22098	1514.01	29350.14	57502.14	68814.32	100378.99	168275.69
2019-11	24923	1407.98	27801.13	75465.45	73229.39	70889.41	201265.71
2020-01	30066	1539.82	32044.85	90908.73	116142.01	362362.46	99709.67
2020-02	28028	1787.25	34794.71	80189.11	110917.71	349601.00	210972.32
2020-03	111561	4070.83	27979.23	80381.21	118813.81	277980.04	416145.37
2020-04	86942	5963.73	56471.43	153284.11	124629.72	173841.37	180064.11
2020-05	32860	3327.76	51646.23	147886.40	167391.38	229817.24	198655.96
2020-06	43403	2767.39	66020.05	121829.63	111756.59	133474.94	53881.85
2020-07	24143	2212.83	45293.81	123363.10	62448.94	186043.52	625442.96
2020-08	26363	4091.45	46254.14	103125.85	104565.05	390124.95	351586.62
2020-09	23907	3212.24	59443.45	108253.32	71776.42	196975.04	42163.90
2020-10	31013	2850.79	68546.80	116392.83	114316.24	277093.94	99566.34
2020-11	29840	3119.18	59578.38	109970.23	119491.66	262714.24	64784.56
2020-12	28017	2943.78	38670.03	82945.92	100005.48	395038.01	33516.93
2021-02	28711	2335.37	54689.16	101025.69	135122.37	343949.06	36664.45
2021-03	32590	4956.33	69194.71	145151.30	178302.05	300079.59	62970.46
2021-04	28520	3642.51	67746.70	130111.37	160116.25	498873.27	87108.76
2021-05	25833	9299.20	62422.02	136125.51	173433.32	197124.87	70438.82
2021-06	20368	2911.53	50426.92	84552.99	128758.62	273201.75	219667.31
2021-07	24590	3101.94	29981.32	59066.63	148983.69	421851.85	117837.47
2021-08	26596	3518.35	40136.46	75732.08	115799.08	633117.88	533299.81
2021-09	24009	1265.54	40674.73	79786.64	110454.46	326856.59	139338.08
2021-10	24466	1600.03	50908.25	82376.52	119968.10	349491.22	204261.19
2021-11	22608	2062.99	45841.64	98244.89	125734.13	300015.44	99036.19
2021-12	23824	1222.45	29222.66	45706.90	158182.25	353103.42	52465.38
2022-01	19661	1353.85	28226.17	69816.36	85473.27	150194.96	80349.08
2022-02	19846	2074.65	25573.72	82109.69	124100.19	249282.66	115221.20
2022-03	24296	2042.29	36836.11	77940.95	69142.30	107892.98	151899.13
2022-04	19086	1126.96	24957.53	62482.97	152540.50	261753.04	44711.68
