type_id,name,daily_upd,daily_creat,update_pct
46426,Sin Kopis Edge SKIN,   49.88,    0.00, 100.00
53626,Legion Oasis of Faith SKIN,   16.75,    0.00, 100.00
63061,Women's 'Semiotique Superluminal' Shades,   17.50,    0.13,  99.29
48149,CreoDron 'Bumblebee' Drone Tuner T10-5D,   16.88,    0.13,  99.26
31500,Capital Energy Metastasis Adjuster II,   16.88,    0.25,  98.54
85489,Glorified Unstable Damage Control Mutaplasmid,   24.00,    0.50,  97.96
26358,Large Ionic Field Projector II,   40.13,    1.50,  96.40
31678,Capital Projectile Burst Aerator II,   18.38,    0.75,  96.08
32039,Medium Drone Durability Enhancer II,   21.13,    0.88,  96.02
4401,Large Processor Overclocking Unit II,   20.50,    0.88,  95.91
31294,Medium Particle Dispersion Augmentor II,   66.38,    3.13,  95.50
56276,Unstable 10000MN Afterburner Mutaplasmid,   15.88,    0.75,  95.49
56271,Gravid Heavy Warp Scrambler Mutaplasmid,   15.75,    0.75,  95.45
3266,Zainou 'Gypsy' CPU Management EE-604,   39.25,    1.88,  95.44
26288,Large Explosive Armor Reinforcer II,   57.50,    2.75,  95.44
87572,"Women's ""Crisis Breaker"" Drifter Plugsuit",   33.63,    1.63,  95.39
31306,Medium Particle Dispersion Projector II,   33.25,    1.63,  95.34
89784,Sealed Projects Container,   24.75,    1.25,  95.19
81015,Exequror Navy Issue Arkombine Arisen SKIN,   39.50,    2.00,  95.18
31654,Capital Warhead Rigor Catalyst II,   44.38,    2.25,  95.17
85932,Nidhoggur Arkombine Arisen SKIN,   34.38,    1.75,  95.16
26304,Large Cargohold Optimization II,   19.38,    1.00,  95.09
26286,Large EM Armor Reinforcer II,   37.63,    2.00,  94.95
26360,Large Particle Dispersion Projector II,   48.50,    2.63,  94.87
32853,"SPZ-3 ""Torch"" Laser Sight Combat Ocular Enhancer (right/black)",   15.63,    0.88,  94.70
89669,Punisher Khanid Cyber Knight SKIN,   26.50,    1.50,  94.64
85930,Archon Arkombine Arisen SKIN,   33.63,    2.13,  94.06
92038,Tabanida EV-900-I,   21.63,    1.38,  94.02
31826,Capital Core Defense Operational Solidifier II,   38.63,    2.50,  93.92
54537,Black Market 'Valdimar' Drone Sharpshooting DS-801,   18.38,    1.25,  93.63
18690,Core B-Type 100MN Afterburner,   18.25,    1.25,  93.59
28583,Capital Industrial Core I,   23.38,    1.63,  93.50
85846,Festive Iron Metallic - Limited,  107.25,    7.50,  93.46
31079,Medium Remote Repair Augmentor II,   35.50,    2.50,  93.42
19263,Gist C-Type EM Shield Hardener,   26.63,    1.88,  93.42
3475,Inherent Implants 'Noble' Mechanic MC-806,   15.63,    1.13,  93.28
20539,XL Torpedo Launcher I,   29.50,    2.13,  93.28
26100,Large Targeting System Subcontroller I,   15.50,    1.13,  93.23
19037,Core A-Type Large Armor Repairer,   22.13,    1.63,  93.16
92035,Arabellata SW-900-I,   40.13,    3.00,  93.04
40552,Equite II,   24.63,    1.88,  92.92
26290,Large Kinetic Armor Reinforcer II,   29.38,    2.25,  92.89
25900,Large Remote Repair Augmentor I,   22.25,    1.75,  92.71
28740,Thukker Micro Auxiliary Power Core,   15.75,    1.25,  92.65
18953,Core C-Type Kinetic Armor Hardener,   29.63,    2.38,  92.58
31027,Small Kinetic Armor Reinforcer II,   45.13,    3.63,  92.56
23896,'Motte' Capacitor Power Relay I,   41.38,    3.38,  92.46
19317,Core C-Type 500MN Microwarpdrive,   67.00,    5.50,  92.41
94054,Pontifex Mandate of Faith SKIN,   15.13,    1.25,  92.37
2985,Dual Heavy Beam Laser II,   18.00,    1.50,  92.31
37295,XL Cruise Missile Launcher II,   18.00,    1.50,  92.31
85929,Thanatos Arkombine Arisen SKIN,   31.00,    2.63,  92.19
19353,Gist A-Type 500MN Microwarpdrive,   42.75,    3.63,  92.18
52238,Zorya's Heavy Entropic Disintegrator,   23.38,    2.00,  92.12
19042,Centus B-Type Large Armor Repairer,   32.00,    2.75,  92.09
92569,Crystalline Raspite,   34.75,    3.00,  92.05
47843,Unstable Medium Ancillary Armor Repairer Mutaplasmid,   21.63,    1.88,  92.02
33904,Capital Transverse Bulkhead II,   45.75,    4.00,  91.96
