sys_name,value_b,reg_name,regional_rank
Jita,15722.4,The Forge,1
Perimeter,11545.6,The Forge,2
Amarr,2860.3,Domain,1
Dodixie,921.2,Sinq Laison,1
Hek,800.2,Metropolis,1
Ashab,774.5,Domain,2
Botane,590.8,Sinq Laison,2
Rens,310,Heimatar,1
Sobaseki,297.4,Lonetrek,1
Frarn,201.6,Heimatar,2
Amo,92.8,Metropolis,2
Couster,85.1,Essence,1
Irjunen,79.5,The Citadel,1
Onnamon,64.2,Black Rise,1
Teonusude,62.9,Molden Heath,1
Tash-Murkon Prime,57.7,Tash-Murkon,1
Villore,55.7,Essence,2
Eystur,53.8,Heimatar,3
Kisogo,50.9,The Forge,3
Palas,46.8,Khanid,1
Sasta,44,Derelik,1
Renyn,36.3,Essence,3
Chaven,32.7,Domain,3
Vylade,32.7,Sinq Laison,3
Tintoh,29.1,The Citadel,2
Alentene,27.7,Verge Vendor,1
Lisudeh,26.3,Devoid,1
Orvolle,25.5,Placid,1
Boystin,24.7,Solitude,1
Merolles,24.1,Verge Vendor,2
Ryddinjorn,23.7,Metropolis,3
Eglennaert,22.2,Sinq Laison,4
Manifest,20.7,Exordium,1
Sarum Prime,20.5,Domain,4
Stacmon,20.4,Placid,2
Bourynes,20.3,Sinq Laison,5
Algogille,18,Essence,4
Ekuenbiron,16.9,Verge Vendor,3
Lanngisi,16.5,Metropolis,4
Sortet,15.9,Verge Vendor,4
Ammold,15.7,Heimatar,4
Halaima,15.4,The Citadel,3
Isaziwa,15.3,The Citadel,4
Sehmy,14.4,Kor-Azor,1
Apanake,13.8,Genesis,1
Zororzih,13.6,Kador,1
Hasiari,13.5,Derelik,2
Pakhshi,13,Genesis,2
Oursulaert,12.8,Essence,5
Gamis,12.8,Derelik,3
Kor-Azor Prime,12.2,Kor-Azor,2
Tar,11.7,Genesis,3
Traun,11.4,Metropolis,5
Akiainavas,11.4,Lonetrek,2
Hayumtom,10.2,Domain,5
Aikoro,9.9,The Citadel,5
Uemisaisen,9.4,Lonetrek,3
Emrayur,9.4,Tash-Murkon,2
Vay,9.2,Verge Vendor,5
Kamio,9.1,The Citadel,6
Agil,8.9,Khanid,2
Todaki,8.9,Lonetrek,4
Manarq,8.9,Genesis,4
Conoban,8.6,Kor-Azor,3
Azer,8.4,Everyshore,1
Cistuvaert,8.3,Verge Vendor,6
Jufvitte,8.3,Verge Vendor,7
Nakri,8.2,Domain,6
Ordion,8.1,Kor-Azor,4
Yulai,7.8,Genesis,5
Dresi,7.8,Kador,2
Actee,7.8,Essence,6
Intaki,7.7,Placid,3
Nakugard,7.7,Metropolis,6
Clellinon,7.6,Verge Vendor,8
Hatakani,7.5,The Citadel,7
Hati,7.5,Devoid,2
Aeddin,7.4,Molden Heath,2
Duripant,7.4,Essence,7
Deepari,7.2,Domain,7
Muvolailen,7.2,The Citadel,8
Tunttaras,7.2,Lonetrek,5
Osmeden,7.2,Placid,4
Ghesis,6.9,Kador,3
Imya,6.8,Genesis,6
Mehatoor,6.8,Devoid,3
Odatrik,6.8,Heimatar,5
Ethernity,6.7,Everyshore,2
Amygnon,6.6,Verge Vendor,9
Kakakela,6.6,Lonetrek,6
Pimebeka,6.6,Tash-Murkon,3
Sankkasen,6.5,The Citadel,9
Sarekuwa,6.4,Lonetrek,7
Korama,6.3,Lonetrek,8
Esescama,6.1,Devoid,4
Arant,6.1,Essence,8
Halle,6.1,Everyshore,3
Nahyeen,5.9,Kor-Azor,5
Uuhulanen,5.7,Black Rise,2
Uitra,5.5,The Forge,4
Gererique,5.5,Solitude,2
Arnon,5.4,Essence,9
Kuomi,5.4,The Bleak Lands,1
Neyi,5.1,Khanid,3
Iyen-Oursta,5.1,Sinq Laison,6
Tarta,5.1,Genesis,7
Octanneve,5,Solitude,3
Gelfiven,5,Molden Heath,3
Kusomonmon,5,The Citadel,10
Chanoun,4.9,Kador,4
Mora,4.9,Kor-Azor,6
Alenia,4.9,Verge Vendor,10
Waira,4.8,The Citadel,11
Reset,4.7,Metropolis,7
